address_id,destination_id,address_name,principal_category,sub_category_1,sub_category_2,sub_category_3
1,1,Kabana,EAT & DRINK,EAT,ROOFTOP / OUTDOOR SPACE / VIEW,NULL
2,2,Darseffarine,STAY,HOTEL,NULL,NULL
3,1,Le Perroquet Bleu,STAY,HOTEL,NULL,NULL
4,3,The Hungry Nomad,EAT & DRINK,EAT,ROOFTOP / OUTDOOR SPACE / VIEW,NULL
5,3,Taros Essaouira,EAT & DRINK,EAT,ROOFTOP / OUTDOOR SPACE / VIEW,NULL
6,1,Café Des Épices,EAT & DRINK,EAT,BRASSERIE / CAFE,NULL
7,4,Surf Maroc,STAY,HOTEL,NULL,NULL
8,5,Tuk Tuk Microbrewery,EAT & DRINK,DRINK,MICROBREWERY / GASTROPUB,NULL
9,6,Publik Bar,EAT & DRINK,DRINK,WINE BAR / SPIRITS & SMALL BITES,NULL
10,1,Yves Saint Laurent Museum,ACTIVITY,MUSEUM / ART GALLERY,NULL,NULL
11,7,Organ,EAT & DRINK,DRINK,WINE BAR / SPIRITS & SMALL BITES,NULL
12,7,Path,EAT & DRINK,EAT,BRASSERIE / CAFE ,NULL
13,7,Eneko,EAT & DRINK,EAT,SPANISH,NULL
14,8,Chote Chitr,EAT & DRINK,EAT,NULL,NULL
15,9,Neolokal,EAT & DRINK,EAT,UPSCALE,NULL
16,10,Bodrum,VISIT,NULL,PLACE,NULL
17,11,Mood,EAT & DRINK,EAT,HEALTHY / VEGAN,NULL
18,12,Coconut Man,EAT & DRINK,DRINK,JUICE / SMOOTHIE,NULL
19,11,Cynthia's Talk of the Town,EAT & DRINK,EAT,BARBECUE / MEAT,NULL
20,11,Quai 58,EAT & DRINK,DRINK,CASUAL / PUB,NULL
21,11,Maison Chocolat,EAT & DRINK,EAT,BAKERY / SWEET TREATS,NULL
22,12,Rosemary's,EAT & DRINK,EAT,BARBECUE / MEAT,NULL
23,12,Fruits and Roots,EAT & DRINK,DRINK,JUICE / SMOOTHIE,NULL
24,13,Oasis,EAT & DRINK,EAT,ITALIAN / PIZZA,NULL
25,11,Anse Marcel,VISIT,NULL,PLACE,NULL
26,14,Las Clementinas,STAY,HOTEL,NULL,NULL
27,14,Tantalo Hotel ,STAY,HOTEL,NULL,NULL
28,14,Cabana,EAT & DRINK,EAT,ITALIAN / PIZZA,NULL
29,14,Café Venezia,EAT & DRINK,EAT,BAKERY / SWEET TREATS,NULL
30,15,Restaurante Chef Oriental,EAT & DRINK,EAT,ASIAN,CHINESE
31,14,Cafe Unido,EAT & DRINK,DRINK,COFFEE SHOP / TEA ROOM,NULL
32,14,Maito,EAT & DRINK,EAT,UPSCALE,NULL
33,14,Mercado de Mariscos,EAT & DRINK,EAT,MARKET / FOOD HALL,NULL
34,14,Casa Jaguar,EAT & DRINK,DRINK,MICROBREWERY / GASTROPUB,NULL
35,16,Humo Panama,EAT & DRINK,EAT,TRADITIONAL,NULL
36,14,"Barlovento Rooftop, Bar & Kitchen",EAT & DRINK,EAT,ROOFTOP / OUTDOOR SPACE / VIEW,NULL
37,14,American Trade Hotel & Hall,STAY,HOTEL,NULL,NULL
38,16,Mi Ranchito,EAT & DRINK,EAT,TRADITIONAL,NULL
39,17,Lina Restaurant,EAT & DRINK,EAT,TRADITIONAL,NULL
40,18,Beer Bazaar,EAT & DRINK,DRINK,MICROBREWERY / GASTROPUB,NULL
41,17,The Eucalyptus,EAT & DRINK,EAT,UPSCALE,NULL
42,17,Abu Shukri,EAT & DRINK,EAT,TRADITIONAL,NULL
43,17,Argenato,EAT & DRINK,EAT,SPANISH,NULL
44,17,דוויני פיתה בר Dwiny Pita Bar,EAT & DRINK,EAT,TRADITIONAL,NULL
45,17,Alliance House,ACTIVITY,MUSEUM / ART GALLERY,NULL,NULL
46,17,Primitivo,EAT & DRINK,DRINK,WINE BAR / SPIRITS & SMALL BITES,NULL
47,17,Tmol Shilshom,EAT & DRINK,EAT,BRASSERIE / CAFE ,NULL
48,19,"Kempinski, Jordan",STAY,HOTEL,NULL,NULL
49,20,10 William Street,EAT & DRINK,EAT,NEOBISTRO,NULL
50,20,Bangaroo Bounce,EAT & DRINK,EAT,UPSCALE,NULL
51,20,Paddington Inn,EAT & DRINK,EAT,BRASSERIE / CAFE,NULL
52,20,Baccomatto Osteria,EAT & DRINK,EAT,ITALIAN / PIZZA,NULL
53,20,North Bondi Fish,EAT & DRINK,EAT,SEAFOOD,NULL
54,21,Paris Butter,EAT & DRINK,EAT,NEOBISTRO,NULL
55,22,Chinchibira,EAT & DRINK,DRINK,GASTROPUB / MICROBREWERY,NULL
56,22,Cerveza Patagonia - Bar de Rosario,EAT & DRINK,DRINK,GASTROPUB / MICROBREWERY,NULL
57,23,Pousada do sandi Hotel,STAY,HOTEL,NULL,NULL
58,24,Restaurante Mondongo's El Poblado,EAT & DRINK,EAT ,TRADITIONAL,NULL
59,25,Mindo Cloud Forest,VISIT,PLACE,NULL,NULL
60,25,Boutique Hotel Cafe Cultura (Cultura manor) (Booking),STAY,HOTEL,NULL,NULL
61,26,"Plus Hostel, Prague",STAY,HOSTEL,NULL,NULL
62,27,Eilandje,VISIT,PLACE,NULL,NULL
63,27,Hopper,EAT & DRINK,EAT,BRASSERIE / CAFE,NULL
64,27,Graanmarkt,EAT & DRINK,EAT,NEOBISTRO,NULL
65,27,Korsakov,EAT & DRINK,DRINK,COFFEE SHOP/ TEA ROOM,NULL
66,27,Soul Suites,STAY,HOTEL,NULL,NULL
