id,city,region,country,destination
1,MARRAKECH,NULL,MOROCCO,AFRICA
2,FEZ,NULL,MOROCCO,AFRICA
3,ESSAOUIRA,NULL,MOROCCO,AFRICA
4,TAGHAZOUT,NULL,MOROCCO,AFRICA
5,FRANSCHHOEK,NULL,SOUTH AFRICA,AFRICA
6,CAPE TOWN,NULL,SOUTH AFRICA,AFRICA
7,TOKYO,NULL,JAPAN,ASIA
8,BANGKOK,NULL,THAILAND,ASIA
9,ISTANBUL,NULL,TURKEY,ASIA
10,BODRUM,NULL,TURKEY,ASIA
11,GRAND-CASE,NULL,ST. MARTIN / SINT MAARTEN,THE CARIBBEAN
12,MARIGOT,NULL,ST. MARTIN / SINT MAARTEN,THE CARIBBEAN
13,OYSTER POND,NULL,ST. MARTIN / SINT MAARTEN,THE CARIBBEAN
14,PANAMA CITY,NULL,PANAMA,CENTRAL AMERICA
15,SAN JOSE,NULL,COSTA RICA,CENTRAL AMERICA
16,LA CHORRERA,NULL,PANAMA,CENTRAL AMERICA
17,JERUSALEM,NULL,ISRAEL,THE MIDDLE EAST
18,TEL AVIV,NULL,ISRAEL,THE MIDDLE EAST
19,DEAD SEA,NULL,JORDAN,THE MIDDLE EAST
20,SYDNEY,NULL,AUSTRALIA,OCEANIA
21,AUCKLAND,NULL,NEW ZEALAND,OCEANIA
22,ROSARIO,NULL,ARGENTINA,SOUTH AMERICA
23,PARATY,NULL,BRAZIL,SOUTH AMERICA
24,MEDELLIN,NULL,COLOMBIA,SOUTH AMERICA
25,QUITO,NULL,ECUADOR,SOUTH AMERICA
26,PRAGUE,NULL,CZECH REPUBLIC,EUROPE
27,ANTWERP,NULL,BELGIUM,EUROPE
28,BRUSSELS,NULL,BELGIUM,EUROPE
29,GENT,NULL,BELGIUM,EUROPE
30,COPENHAGEN,NULL,DENMARK,EUROPE
31,BERLIN,NULL,GERMANY,EUROPE
32,REYKJAVIK,NULL,ICELAND,EUROPE
33,HÖFN,NULL,ICELAND,EUROPE
34,ÁRSKÓGSSANDUR,NULL,ICELAND,EUROPE
35,SYROS,CYCLADES,GREECE,EUROPE
36,SPETSES,OTHER ISLANDS,GREECE,EUROPE
37,ANTIPAROS,CYCLADES,GREECE,EUROPE
38,CORFU,OTHER ISLANDS,GREECE,EUROPE
39,ATHENS,MAINLAND,GREECE,EUROPE
40,SERIFOS,CYCLADES,GREECE,EUROPE
41,SIFNOS,CYCLADES,GREECE,EUROPE
42,WARSAW,NULL,POLAND,EUROPE
43,FLORENCE,TUSCANY,ITALY,EUROPE
44,TUSCANY,TUSCANY,ITALY,EUROPE
